cnn_layers_0.1.weight	torch.Size([16, 3, 3, 3])	gcn/Conv2D/W:0	[3, 3, 3, 16]
cnn_layers_0.1.bias	torch.Size([16])	gcn/Conv2D/b:0	[16]
cnn_layers_0.4.weight	torch.Size([16, 16, 3, 3])	gcn/Conv2D_1/W:0	[3, 3, 16, 16]
cnn_layers_0.4.bias	torch.Size([16])	gcn/Conv2D_1/b:0	[16]
cnn_layers_1.1.weight	torch.Size([32, 16, 3, 3])	gcn/Conv2D_2/W:0	[3, 3, 16, 32]
cnn_layers_1.1.bias	torch.Size([32])	gcn/Conv2D_2/b:0	[32]
cnn_layers_1.4.weight	torch.Size([32, 32, 3, 3])	gcn/Conv2D_3/W:0	[3, 3, 32, 32]
cnn_layers_1.4.bias	torch.Size([32])	gcn/Conv2D_3/b:0	[32]
cnn_layers_1.7.weight	torch.Size([32, 32, 3, 3])	gcn/Conv2D_4/W:0	[3, 3, 32, 32]
cnn_layers_1.7.bias	torch.Size([32])	gcn/Conv2D_4/b:0	[32]
cnn_layers_2.1.weight	torch.Size([64, 32, 3, 3])	gcn/Conv2D_5/W:0	[3, 3, 32, 64]
cnn_layers_2.1.bias	torch.Size([64])	gcn/Conv2D_5/b:0	[64]
cnn_layers_2.4.weight	torch.Size([64, 64, 3, 3])	gcn/Conv2D_6/W:0	[3, 3, 64, 64]
cnn_layers_2.4.bias	torch.Size([64])	gcn/Conv2D_6/b:0	[64]
cnn_layers_2.7.weight	torch.Size([64, 64, 3, 3])	gcn/Conv2D_7/W:0	[3, 3, 64, 64]
cnn_layers_2.7.bias	torch.Size([64])	gcn/Conv2D_7/b:0	[64]
cnn_layers_3.1.weight	torch.Size([128, 64, 3, 3])	gcn/Conv2D_8/W:0	[3, 3, 64, 128]
cnn_layers_3.1.bias	torch.Size([128])	gcn/Conv2D_8/b:0	[128]
cnn_layers_3.4.weight	torch.Size([128, 128, 3, 3])	gcn/Conv2D_9/W:0	[3, 3, 128, 128]
cnn_layers_3.4.bias	torch.Size([128])	gcn/Conv2D_9/b:0	[128]
cnn_layers_3.7.weight	torch.Size([128, 128, 3, 3])	gcn/Conv2D_10/W:0	[3, 3, 128, 128]
cnn_layers_3.7.bias	torch.Size([128])	gcn/Conv2D_10/b:0	[128]
cnn_layers_4.1.weight	torch.Size([256, 128, 5, 5])	gcn/Conv2D_11/W:0	[5, 5, 128, 256]
cnn_layers_4.1.bias	torch.Size([256])	gcn/Conv2D_11/b:0	[256]
cnn_layers_4.4.weight	torch.Size([256, 256, 3, 3])	gcn/Conv2D_12/W:0	[3, 3, 256, 256]
cnn_layers_4.4.bias	torch.Size([256])	gcn/Conv2D_12/b:0	[256]
cnn_layers_4.7.weight	torch.Size([256, 256, 3, 3])	gcn/Conv2D_13/W:0	[3, 3, 256, 256]
cnn_layers_4.7.bias	torch.Size([256])	gcn/Conv2D_13/b:0	[256]
cnn_layers_5.1.weight	torch.Size([512, 256, 5, 5])	gcn/Conv2D_14/W:0	[5, 5, 256, 512]
cnn_layers_5.1.bias	torch.Size([512])	gcn/Conv2D_14/b:0	[512]
cnn_layers_5.4.weight	torch.Size([512, 512, 3, 3])	gcn/Conv2D_15/W:0	[3, 3, 512, 512]
cnn_layers_5.4.bias	torch.Size([512])	gcn/Conv2D_15/b:0	[512]
cnn_layers_5.7.weight	torch.Size([512, 512, 3, 3])	gcn/Conv2D_16/W:0	[3, 3, 512, 512]
cnn_layers_5.7.bias	torch.Size([512])	gcn/Conv2D_16/b:0	[512]
cnn_layers_5.10.weight	torch.Size([512, 512, 3, 3])	gcn/Conv2D_17/W:0	[3, 3, 512, 512]
cnn_layers_5.10.bias	torch.Size([512])	gcn/Conv2D_17/b:0	[512]
layers.1.vars.weights_0	torch.Size([963, 256])	gcn/graphconvolution_1_vars/weights_0:0	[963, 256]
layers.1.vars.weights_1	torch.Size([963, 256])	gcn/graphconvolution_1_vars/weights_1:0	[963, 256]
layers.1.vars.bias	torch.Size([256])	gcn/graphconvolution_1_vars/bias:0	[256]
layers.2.vars.weights_0	torch.Size([256, 256])	gcn/graphconvolution_2_vars/weights_0:0	[256, 256]
layers.2.vars.weights_1	torch.Size([256, 256])	gcn/graphconvolution_2_vars/weights_1:0	[256, 256]
layers.2.vars.bias	torch.Size([256])	gcn/graphconvolution_2_vars/bias:0	[256]
layers.3.vars.weights_0	torch.Size([256, 256])	gcn/graphconvolution_3_vars/weights_0:0	[256, 256]
layers.3.vars.weights_1	torch.Size([256, 256])	gcn/graphconvolution_3_vars/weights_1:0	[256, 256]
layers.3.vars.bias	torch.Size([256])	gcn/graphconvolution_3_vars/bias:0	[256]
